Instance,CHID,StartTime,Duration_s,Successful
707,48,21886.4,32.8131,Yes
708,42,21919.2,19.2629,Yes
709,30,21938.5,29.8509,Yes
710,18,21968.3,14.9431,Yes
711,52,21983.3,37.1427,Yes
712,55,22020.4,1.01347,Yes
713,49,22021.4,36.9172,Yes
714,45,22058.4,19.9326,Yes
715,11,22078.3,29.0643,Yes
716,23,22107.4,37.9163,Yes
717,32,22145.3,24.9032,Yes
718,34,22170.2,24.1186,Yes
719,39,22194.3,16.9226,Yes
720,1,22211.2,21.8581,Yes
721,15,22233.1,37.5532,Yes
722,21,22270.6,20.6902,Yes
723,36,22291.3,25.3158,Yes
724,51,22316.6,35.4912,Yes
725,57,22368.8,31.8288,Yes
726,32,22502.3,30.301,Yes
727,37,22532.6,35.8694,Yes
728,33,22568.4,8.22059,Yes
729,16,22576.7,25.1022,Yes
730,4,22601.8,14.7537,Yes
731,12,22616.5,31.2294,Yes
732,7,22647.7,26.9696,Yes
733,14,22674.7,15.5907,Yes
734,26,22690.3,23.1073,Yes
735,30,22713.4,29.6191,Yes
736,42,22743,29.8509,Yes
737,22,22772.9,13.3879,Yes
738,50,22786.3,23.9379,Yes
739,53,22810.2,19.2079,Yes
740,45,22829.4,28.5658,Yes
741,49,22858,19.9326,Yes
742,54,22877.9,9.79315,Yes
743,36,22887.7,25.7464,Yes
744,25,22913.5,31.3763,Yes
745,69,22944.8,21.4585,Yes
746,47,22966.3,24.0066,Yes
747,61,22990.3,35.6625,Yes
748,56,23026,7.30781,Yes
749,58,23033.3,13.8004,Yes
750,43,23047.1,31.9933,Yes
751,46,23079.1,33.7277,Yes
752,68,23112.8,37.1692,Yes
753,73,23150,6.38608,Yes
754,62,23156.3,34.3154,Yes
755,0,23284.5,25.689,Yes
756,1,23310.2,21.8373,Yes
757,20,23332.1,30.0797,Yes
758,21,23362.1,32.9032,Yes
759,25,23395.1,37.1126,Yes
760,29,23432.2,34.4129,Yes
761,32,23466.6,26.5612,Yes
762,34,23493.1,24.1186,Yes
763,43,23517.3,36.0294,Yes
764,62,23553.3,24.7887,Yes
765,31,23578.1,19.3057,Yes
766,7,23597.4,37.1679,Yes
767,5,23634.6,7.15211,Yes
768,2,23641.7,25.1559,Yes
769,28,23666.9,33.2126,Yes
770,65,23700.1,9.82779,Yes
771,79,23709.9,31.8059,Yes
772,76,23741.7,21.9203,Yes
773,40,23763.6,22.4648,Yes
774,70,23786.1,34.9556,Yes
775,78,23821,33.3398,Yes
776,45,23854.4,15.3854,Yes
777,60,23869.8,14.2555,Yes
778,14,23884,37.1804,Yes
779,55,23921.2,37.708,Yes
780,32,24045.4,34.7929,Yes
781,34,24080.2,24.1186,Yes
782,10,24104.4,26.2567,Yes
